width,threads,cycles_max,speedup_vs_1,efficacite_globale
2,1,126515,1.000000,1.000000
2,2,110343,1.146561,0.573281
2,4,100945,1.253306,0.313327
2,8,98779,1.280788,0.160099
2,16,102641,1.232597,0.077037
4,1,106360,1.000000,1.000000
4,2,98928,1.075125,0.537563
4,4,94784,1.122130,0.280533
4,8,94586,1.124479,0.140560
8,1,104926,1.000000,1.000000
8,2,98292,1.067493,0.533746
8,4,93384,1.123597,0.280899
8,8,93546,1.121651,0.140206
